Title,Short Description,Full Misinformation Claim,Fact-Checked Truth,Category,Category Description
COVID-19 Vaccines Make You Magnetic,False claim about vaccine ingredients,Vaccines contain metals that make arms magnetic,No magnetic ingredients; debunked by WHO,Medical Hoax,False vaccine science
Hot Lemon Water Cures COVID,Viral home remedy myth,Drinking hot lemon water kills the virus in throat,No cure exists; symptom relief only,Fake Cures,Unproven treatments
5G Spreads COVID-19,Tech conspiracy theory,5G networks activate the virus in lungs,No link between 5G and viruses,Conspiracy,Baseless tech claims
Black Fungus from Masks,False link between masks and infection,Wearing masks causes deadly black fungus,Mucormycosis is caused by diabetes/steroids,Medical Misinfo,False health risks
Oxygen Cylinders Spread COVID,False hospital rumor,Oxygen therapy spreads the virus,Oxygen is safe; virus spreads via droplets,Medical Hoax,False fear-mongering
Patan Hospital Burns Bodies Secretly,Fake institutional claim,Hospital burns COVID bodies at night to hide deaths,Death reporting was transparent,Fake News,Institutional distrust
Nepal Army Poisons Vaccines,Anti-government conspiracy,Army adds poison to vaccines to control population,Vaccines are WHO-approved and safe,Conspiracy,Anti-authority narratives
Cow Urine Kills COVID,Dangerous traditional 'cure',Drinking cow urine boosts immunity against COVID,No evidence; risks kidney damage,Fake Cures,Unsafe remedies
Vaccines Kill Children,False pediatric claim,12 Nepali children died post-vaccination,No verified deaths linked to vaccines,Medical Hoax,Vaccine fear-mongering
WHO Opposes Lockdowns,Misrepresented WHO stance,WHO says lockdowns don’t work,WHO supports targeted lockdowns,Misquoted Experts,False authority claims
Garlic Prevents Infection,Oversimplified health advice,Eating raw garlic blocks virus entry,No food prevents COVID-19,Fake Prevention,False dietary claims
Salt Lamps Kill COVID,Misleading product claim,Himalayan salt lamps purify air of virus,No evidence; commercial scam,Fake Products,Exploitative marketing
Vaccines Cause Infertility,False reproductive claim,COVID vaccines attack ovaries causing sterility,No impact on fertility,Medical Hoax,Gender-targeted misinformation
COVID is Just Flu,Pandemic minimization,COVID-19 is no worse than seasonal flu,COVID has higher mortality/complications,Downplaying Pandemic,False comparisons
Chloroquine Cures COVID,Unproven drug promotion,Taking chloroquine pills treats infection,No proven cure; risky self-medication,Fake Cures,Dangerous self-treatment
Kathmandu Immune to COVID,False geographic claim,High altitude protects Kathmandu from virus,Virus spreads globally regardless of elevation,Geographic Misinfo,False immunity theories
Vaccines Contain Pork,Religious misinformation,Vaccines use haram pork gelatin,No pork-derived ingredients,Religious Misinfo,Faith-based fears
COVID Only Affects Elderly,False demographic claim,Under-60s are immune to severe COVID,All age groups are vulnerable,Demographic Misinfo,Age-related misinformation
Mosquitoes Spread COVID,False vector claim,Virus transmits via mosquito bites,Respiratory spread only,Transmission Misinfo,False insect vectors
Colloidal Silver Cures,Dangerous alternative 'cure',Silver solution kills virus in 72 hours,No evidence; causes argyria,Fake Cures,Toxic remedies
Vaccines Alter DNA,Genetic misinformation,mRNA vaccines change human DNA,mRNA doesn't interact with DNA,Medical Hoax,False vaccine science
Patan Overcounts Deaths,Institutional distrust,Hospital marks all deaths as COVID for funds,Audits confirm accurate reporting,Fake News,False institutional claims
Vitamin D Prevents COVID,Oversimplified health advice,High-dose Vitamin D grants immunity,Supports immunity but doesn't prevent infection,Fake Prevention,Overstated supplement benefits
Lockdowns Are UN Plot,Geopolitical conspiracy,UN imposed lockdowns to control Nepal,National decision based on epidemiology,Conspiracy,Global governance fears
